internalTaxonId,scientificName,name,language,main
132523146,Hubbsina turneri,Mexclapique Michoacano,Spanish; Castilian,false
132523146,Hubbsina turneri,Highland Splitfin,English,true
10767,Ictalurus australis,Bagre del Panuco,Spanish; Castilian,false
10767,Ictalurus australis,Panuco Catfish,English,true
10769,Ictalurus mexicanus,Bagre de Rio Verde,Spanish; Castilian,false
10769,Ictalurus mexicanus,Rio Verde Catfish,English,true
1078,Ambloplites cavifrons,Roanoke Bass,English,false
10803,Iguanognathus werneri,Spatula-toothed Snake,English,true
132521900,Ilyodon whitei,Mexclapique (erronously: Mexcaplique) Cola Partida,Spanish; Castilian,false
