internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
132523146,Hubbsina turneri,"Girardinichthys ireneae Radda &amp; Meyer, 2003",Girardinichthys,ireneae,"Radda &amp; Meyer, 2003",,
132523146,Hubbsina turneri,"Girardinichthys turneri (de Buen, 1940)",Girardinichthys,turneri,"(de Buen, 1940)",,
10767,Ictalurus australis,"Amiurus australis Meek, 1904",Amiurus,australis,"Meek, 1904",,
10769,Ictalurus mexicanus,"Amiurus mexicanus Meek, 1904",Amiurus,mexicanus,"Meek, 1904",,
132521900,Ilyodon whitei,"Goodea whitei Meek, 1904",Goodea,whitei,"Meek, 1904",,
132521900,Ilyodon whitei,"Balsadichthys  whitei Hubbs, 1926",Balsadichthys ,whitei,"Hubbs, 1926",,
132521900,Ilyodon whitei,"Ilyodon cortesae Paulo-Maya & Trujillo-Jiménez, 2000",Ilyodon,cortesae,"Paulo-Maya & Trujillo-Jiménez, 2000",,
132521900,Ilyodon whitei,"Ilyodon lennoni Meyer &amp; Förster, 1983",Ilyodon,lennoni,"Meyer &amp; Förster, 1983",,
11200,Lamna nasus,"Squalus nasus Bonnaterre, 1788",Squalus,nasus,"Bonnaterre, 1788",,
